FIPS Code,State,Area name,Less_than_a_high_school_diploma,High_school_diploma_only,Some_college_or_associate's_degree,Bachelor's_degree_or_higher,Percent_of_adults_with_less_than_a_high_school_diploma,Percent_of_adults_with_a_high_school_diploma_only,Percent_of_adults_completing_some_college_or_associate's_degree,Percent_of_adults_with_a_bachelor's_degree_or_higher
0,US,United States,26472261,59472748,63756905,70920162,11.99891758,26.95684433,28.8986969,32.14554214
1000,AL,Alabama,458922,1022839,993344,845772,13.81930161,30.80026817,29.91209793,25.46833229
1001,AL,Autauga County,4291,12551,10596,9929,11.48339462,33.58845901,28.3565712,26.57157326
1003,AL,Baldwin County,13893,41797,47274,48148,9.193842888,27.65961647,31.28408051,31.86245918
1005,AL,Barbour County,4812,6396,4676,2080,26.7869072,35.60454178,26.02983665,11.57871342
1007,AL,Bibb County,3386,7256,3848,1678,20.94260216,44.87877274,23.80009842,10.37852573
1009,AL,Blount County,7763,13299,13519,5210,19.50943756,33.42213058,33.97502136,13.09341335
1011,AL,Bullock County,1798,2860,1587,856,25.32037735,40.27601624,22.34896469,12.05463982
1013,AL,Butler County,2066,6244,3279,2230,14.95043087,45.18416595,23.72820091,16.13720322
1015,AL,Calhoun County,12315,25940,26233,14620,15.56732559,32.79061508,33.16099548,18.48106384
1017,AL,Chambers County,4372,8739,7515,3163,18.37824249,36.735466,31.59023094,13.29606152
1019,AL,Cherokee County,3478,7598,5391,2407,18.42746544,40.25643921,28.56310272,12.75299358
1021,AL,Chilton County,5474,13348,7401,3823,18.21873093,44.42521286,24.63223076,12.72382355
1023,AL,Choctaw County,1737,3515,2964,1113,18.61935806,37.6782074,31.77189445,11.93053913
1025,AL,Clarke County,3259,7005,4456,2050,19.43351173,41.77101898,26.57125854,12.22420979
1027,AL,Clay County,2205,3577,2678,999,23.31113243,37.81583786,28.31166077,10.5613699
1029,AL,Cleburne County,2198,3980,2687,1616,20.97128105,37.97347641,25.63686752,15.41837597
1031,AL,Coffee County,4967,9615,12667,8044,14.07361221,27.24336243,35.89096832,22.79205513
1033,AL,Colbert County,5783,14740,11366,7070,14.84381008,37.83464813,29.17425919,18.14728355
1035,AL,Conecuh County,1384,4516,1805,1128,15.66851616,51.12645721,20.43473244,12.77029324
1037,AL,Coosa County,1652,3327,2221,1059,20.00242233,40.28332901,26.89187622,12.8223753
1039,AL,Covington County,4366,9819,8119,4020,16.58562469,37.30056381,30.84257698,15.27123547
1041,AL,Crenshaw County,2016,3830,2157,1687,20.80495262,39.52528381,22.26006126,17.40970039
1043,AL,Cullman County,10648,19668,19406,8004,18.44576073,34.07130051,33.61743546,13.86550236
1045,AL,Dale County,4651,10819,11961,6078,13.87985325,32.28684998,35.69488907,18.13841057
1047,AL,Dallas County,4757,9411,8178,3854,18.15648842,35.91984558,31.2137413,14.70992374
1049,AL,DeKalb County,12072,16431,13241,6246,25.15524101,34.23838425,27.59116554,13.01521111
1051,AL,Elmore County,7503,18232,16298,14060,13.3760004,32.5031662,29.05531883,25.06551552
1053,AL,Escambia County,4878,11308,6449,3224,18.8638382,43.72945404,24.93909264,12.46761322
1055,AL,Etowah County,11127,23668,24422,12815,15.44730091,32.85762024,33.90437698,17.79070473
1057,AL,Fayette County,2037,4831,3387,1451,17.40133286,41.26943588,28.93387985,12.39535236
1059,AL,Franklin County,4739,7601,5539,2907,22.79899979,36.56788254,26.64774323,13.98537445
1061,AL,Geneva County,3672,6714,5943,2331,19.67845726,35.98070908,31.84887505,12.49196148
1063,AL,Greene County,1204,2237,1766,586,20.78370476,38.61557007,30.48506737,10.11565685
1065,AL,Hale County,1587,4303,2620,1411,15.99637127,43.37264252,26.40862846,14.2223568
1067,AL,Henry County,2509,3961,3622,2076,20.61965752,32.55259705,29.76660156,17.06114388
1069,AL,Houston County,10076,22558,23893,15672,13.95587158,31.24419975,33.0932579,21.70667267
1071,AL,Jackson County,6218,15177,10429,5175,16.80586052,41.02002716,28.18724823,13.98686409
1073,AL,Jefferson County,44684,118636,136299,150124,9.935452461,26.37862015,30.30597496,33.37995148
1075,AL,Lamar County,1737,3912,3014,1174,17.65782166,39.76822281,30.63942337,11.93453312
1077,AL,Lauderdale County,8026,22873,17759,14948,12.61830616,35.9604454,27.92032242,23.50092697
1079,AL,Lawrence County,4825,9605,5954,2930,20.69571877,41.19842148,25.53830338,12.56755638
1081,AL,Lee County,8849,23026,30907,34273,9.117510796,23.72469139,31.84482956,35.31296539
1083,AL,Limestone County,10098,20044,18829,16971,15.31345749,30.39640808,28.55388069,25.73625374
1085,AL,Lowndes County,1529,2800,1696,1037,21.65109062,39.6488266,24.0158596,14.68422508
1087,AL,Macon County,2190,3633,3760,2450,18.19994926,30.19197273,31.24740219,20.3606739
