Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
WMT,Walmart,1,Retail,Bentonville,Arkansas,Benton County,2200000,3.5,3.3
AMZN,Amazon,2,Software,Seattle,Washington,King County,1298000,3.5,3.8
AAPL,Apple,3,Hardware,Cupertino,California,Santa Clara County,147000,4.2,4.2
CVS,CVS Health,4,Retail,Woonsocket,Rhode Island,Providence County,300000,3.2,3
UNH,UnitedHealth Group,5,Healthcare,Minnetonka,Minnesota,Hennepin County,330000,3.6,3.6
BRK.A,Berkshire Hathaway,6,Conglomerate,Omaha,Nebraska,Douglas County,360000,4,4
MCK,McKesson,7,Healthcare,Irving,Texas,Dallas County,80000,3.5,3.8
ABC,AmerisourceBergen,8,Pharmaceutical,Chesterbrook,Pennsylvania,Chester County,22000,3.4,3.7
GOOGL,Alphabet,9,Software,Mountain View,California,Santa Clara County,135301,3.9,4.1
XOM,ExxonMobil,10,Energy,Irving,Texas,Dallas County,72000,3.9,3.1
T,AT&T,11,Telecommunications,Dallas ,Texas,Dallas County,230000,3.7,3.7
COST,Costgo Wholesale,12,Retail,Issaquah,Washington,King County,273000,4.1,4.1
CI,Cigna,13,Insurance,Bloomfield,Connecticut,Hartford County,73700,3.7,3.8
CAH,Cardinal Health,14,Healthcare,Dublin,Ohio,Franklin County,30000,3.5,3.8
MSFT,Microsoft,15,Software,Redmond,Washington,King County,190000,4.2,4.4
WBA,Walgreens,16,Retail,Deerfield,Illinois,Lake County,225000,3.5,3.1
KR,Kroger,17,Retail,Cincinnati,Ohio,Hamilton County,465000,3.4,3.1
HD,Home Depot,18,Retail,Atlanta,Georgia,Cobb County,415000,3.7,3.8
JPM,JP Morgan Chase,19,Financial Services,New York City,New York,New York County,255351,3.9,4
VZ,Verizon Communications,20,Telecommunications,New York City,New York,New York County,132200,3.9,3.8
F,Ford,21,Automotive,Dearborn,Michigan,Wayne County,186000,4.1,4.1
GM,General Motors,22,Automotive,Detroit,Michigan,Wayne County,155000,4,4
ANTM,Anthem,23,Insurance,Indianapolis,Indiana,Marion County,63900,3.7,3.7
CNC,Centene,24,Insurance,St. Louis,Missouri,St. Louis County,71300,3.2,3.4
FNMA,Fannie Mae,25,Financial Services,Washington,District of Columbia,District of Columbia,7500,4,3.9
CMCSA,Comcast,26,Telecommunications,Philadelphia,Pennsylvania,Philadelphia County,190000,3.7,3.9
CVX,Chevron,27,Energy,San Ramon,California,Contra Costa County,42628,4,4.1
