Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Abilene, TX",Texas,2018,70.3,,5,3.2,13.6,1.1,4.1,5.5,14.7,7.9,2.6,12.7
"Akron, OH",Ohio,2018,339.9,,14.4,39.4,67.2,4.8,15.7,51.1,55.2,34.2,13.3,44.7
"Albany, GA",Oregon,2018,46.4,0.4,3.1,8.3,10.2,0.4,1.5,3.1,6.8,3.9,1.5,7.1
"Albany-Lebanon, OR",Georgia,2018,62.2,,,,12.4,,,,,,,12.3
"Albany-Schenectady-Troy, NY",New York,2018,471.7,,19.7,26.7,74.6,8.6,26.6,56.5,96.4,41.6,19.4,101.6
"Albuquerque, NM",New Mexico,2018,393.7,,23.9,16,63.8,6.5,18.9,61.8,64.9,44.1,12.1,81.8
"Alexandria, LA",Louisiana,2018,62,,,,11.1,,,,,,,13.8
"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,2018,375.1,,13.6,38.6,85.3,5.4,13.9,48.6,77.8,37.6,14.5,39.7
"Altoona, PA",Pennsylvania,2018,61.2,,3.1,7.4,14.3,0.9,1.5,5.4,12.6,5.6,2.7,7.8
"Amarillo, TX",Texas,2018,120.4,,7.3,13.5,25.7,1.3,6.7,8.9,16.8,13.8,4.9,21.5
"Ames, IA",Iowa,2018,53.5,,,,,,,,,,,21.4
"Anchorage, AK",Alaska,2018,176.1,2.7,9.8,2.3,38,4,8,19,31.6,20.4,6.4,34
"Ann Arbor, MI",Michigan,2018,224.6,,4.4,15,26.2,5.6,7,30.1,28.9,18.3,6.4,82.6
"Anniston-Oxford, AL",Alabama,2018,47.2,,1.1,6.6,9,0.4,1.3,4.5,4.9,5.1,1.7,12.6
"Appleton, WI",Wisconsin,2018,126.2,,9,23.9,24.1,1.5,6.9,13.5,15.4,12.1,7.3,12.5
"Asheville, NC",North Carolina,2018,195.4,,9.6,22,36,2,6.5,18.1,38.1,29.2,8.7,25.4
"Athens-Clarke County, GA",Georgia,2018,98.3,,,,16.5,,,8.7,,11.1,,29.6
"Atlanta-Sandy Springs-Alpharetta, GA",Georgia,2018,2785.9,1.6,125.3,168.7,592.7,100.2,173.1,535.4,356.5,297.6,100.8,333.9
"Atlantic City-Hammonton, NJ",New Jersey,2018,130.9,,5.9,2.3,20.9,0.8,3.7,10.5,21.1,39.7,5.4,20.8
"Auburn-Opelika, AL",Alabama,2018,65.5,,2.5,6.6,11.9,0.5,2,7.3,4.6,8.8,2.4,18.9
"Augusta-Richmond County, GA-SC",Georgia,2018,239.6,,18.7,22,40,2.5,6.5,33.9,34,26.8,8.3,46.8
"Austin-Round Rock-Georgetown, TX",Texas,2018,1075.6,,64.5,60.7,179.7,34.7,63,187.7,125.3,130.7,46.3,183
"Bakersfield, CA",California,2018,266.8,9.3,15.9,13.2,53.3,2,7.6,26.7,38.1,26.7,7.9,66.1
"Baltimore-Columbia-Towson, MD",Maryland,2018,1417.3,,80.6,57.7,246.5,17.3,80.1,239,278.3,138.9,52,227
"Bangor, ME",Maine,2018,67.5,0.2,3.3,2.4,13.8,0.8,2.3,6.6,16.2,6.8,2.2,12.8
"Barnstable Town, MA",Massachusetts,2018,106.9,,6.9,3.3,21.6,1.5,3.9,9.4,20.1,19.7,4.6,15.9
"Baton Rouge, LA",Louisiana,2018,412,0.9,54.8,29.7,70.8,5.2,18.4,47.7,53.6,40.1,16.7,74.2
"Battle Creek, MI",Michigan,2018,58.4,,1.7,11.8,8.9,,1.2,6.3,11,4.4,2,10.7
"Bay City, MI",Michigan,2018,35.3,,1.3,4.5,7.5,0.4,1.3,2.6,6.6,4.4,1.3,5.5
"Beaumont-Port Arthur, TX",Texas,2018,164.1,,20.5,21.9,31.6,1.1,5.7,14.5,21.5,16.2,6.3,24.8
"Beckley, WV",West Virginia,2018,44.2,,,,,,,,,,,8.6
"Bellingham, WA",Washington,2018,94.9,,8.4,10.5,16.6,,3.8,8.3,,10.7,,18.2
"Bend, OR",Oregon,2018,84.9,,7.1,5.7,16,1.9,4.7,10.3,13.8,13,3,9.5
"Billings, MT",Montana,2018,85.4,,,,20.6,,,8.9,15.2,12,,9.6
"Binghamton, NY",New York,2018,104,,4.1,11.4,18.9,1.5,3.6,9,17.2,10.8,5.5,22
"Birmingham-Hoover, AL",Alabama,2018,539.2,2.8,27.9,39,109,7.5,42,69.2,74,52.8,30.8,84.2
"Bismarck, ND",North Dakota,2018,72.5,,4.7,1.7,14.2,0.9,3.4,7.7,14.1,7.4,3,15.4
"Blacksburg-Christiansburg, VA",Virginia,2018,77.7,,,,,,,,,,,24.7
"Bloomington, IL",Illinois,2018,93.2,,2.8,3.4,14.4,0.5,19.7,9.7,11,11.8,3.6,16.4
"Bloomington, IN",Indiana,2018,77.7,,2.7,9,10.2,1.1,3,5.2,10,8.8,2.4,25.3
"Bloomsburg-Berwick, PA",Pennsylvania,2018,42.8,,1.5,5.4,6.2,,,4.3,11.7,3.6,,6.1
"Boise City, ID",Idaho,2018,332.2,,24.4,29.2,63.3,4.1,18.5,50.1,48.5,34.6,11.8,47.8
"Boulder, CO",Colorado,2018,194.7,,5.8,19.1,25.8,8.2,7.2,35.8,26.2,21.5,6.2,38.9
"Bowling Green, KY",Kentucky,2018,76.9,,3.2,12.9,14,,,9.5,10.8,9,,12
"Bremerton-Silverdale-Port Orchard, WA",Washington,2018,93.3,,5,2.8,14,,,8.1,,9.7,,33.1
"Brownsville-Harlingen, TX",Texas,2018,142.2,,2.9,5.5,25.8,0.7,5.2,12.4,40.4,15.9,3,30.4
"Brunswick, GA",Georgia,2018,44.1,,,,8.8,,,,,,,8.6
