State,Year,Quarter,Exports_Manufactured_Commodities,Exports_Non_Manufactured_Commodities,Exports_Total_Commodities
Alabama,2021,4,4755.6,596.7,7866.7
Alaska,2021,4,182,1258,944.6
Arizona,2021,4,3422.9,909.7,7561.4
Arkansas,2021,4,959.9,122.9,2491.2
California,2021,4,27429.8,6683.2,126445.5
Colorado,2021,4,1948.8,114.7,4429.8
Connecticut,2021,4,2928.8,235.7,5383.8
Delaware,2021,4,951.9,29.6,2989.1
Florida,2021,4,10460.9,1090.5,26395.8
Georgia,2021,4,8071.2,1058.9,32759.2
Hawaii,2021,4,24.8,40.9,724.1
Idaho,2021,4,570.1,146.1,1702.3
Illinois,2021,4,13838.3,1119.3,59450.5
Indiana,2021,4,9212,237.6,20338.3
Iowa,2021,4,3120,589.6,3029.7
Kansas,2021,4,2369.3,698.5,3070.7
Kentucky,2021,4,6029.1,195.8,17062.6
Louisiana,2021,4,9579.2,14954,9096.1
Maine,2021,4,440.4,428,1738
Maryland,2021,4,2862,1161.9,10044.2
Massachusetts,2021,4,7914.4,359.3,11602
Michigan,2021,4,13503.1,729.3,35878
Minnesota,2021,4,5030.2,577.5,8653.6
Mississippi,2021,4,2789.9,85.3,4502.5
Missouri,2021,4,3035.8,508,6338.8
Montana,2021,4,283.5,214.2,1779.7
Nebraska,2021,4,1618.9,462.6,1190.4
Nevada,2021,4,1498,199.1,4066.2
New Hampshire,2021,4,1159.5,84,2152.8
New Jersey,2021,4,7516.7,1798.6,41962.4
New Mexico,2021,4,526.5,94.2,1653.3
New York,2021,4,10910.1,3362,43618.5
North Carolina,2021,4,6890.5,374.2,20641.6
North Dakota,2021,4,743.4,258.4,899
Ohio,2021,4,11162.8,2013,20196.5
Oklahoma,2021,4,1279.2,112,4336.6
Oregon,2021,4,5742.6,911.3,6109.2
Pennsylvania,2021,4,7901.5,1363.5,25786.8
Rhode Island,2021,4,507.3,211.8,2432.7
South Carolina,2021,4,6358.9,215.7,12593.2
South Dakota,2021,4,441.9,34.3,445.3
Tennessee,2021,4,6377.5,481.4,24881.1
Texas,2021,4,54905.8,35753.8,87763.9
Utah,2021,4,3791.5,129.4,4839.7
Vermont,2021,4,515.2,15.6,866.9
Virginia,2021,4,3305.8,2322.5,9387.6
Washington,2021,4,9425,7620.5,17183.4
West Virginia,2021,4,787.5,835.8,950.5
Wisconsin,2021,4,5686.9,364,10407.4
Wyoming,2021,4,351,44.1,459.2
District of Columbia,2021,4,260.6,70.3,219.2
Alabama,2021,3,4638.8,223.4,8203.1
Alaska,2021,3,251.8,2028.2,1278.1
Arizona,2021,3,3226.8,794,6792
Arkansas,2021,3,1068.9,127,2642.5
California,2021,3,27279.2,5727.1,123560.9
Colorado,2021,3,2051.1,128.3,4325.5
Connecticut,2021,3,2971.4,234.1,5461.2
Delaware,2021,3,898,27.3,2424.8
Florida,2021,3,9673.2,1029.1,23571.4
Georgia,2021,3,7878.7,1169.9,31391.6
Hawaii,2021,3,25.5,34.2,685
Idaho,2021,3,564.9,152.4,1679.5
Illinois,2021,3,13051.3,808.2,53283.2
Indiana,2021,3,8922,162.2,19845.9
Iowa,2021,3,3166.4,515.4,2947.4
Kansas,2021,3,2385.5,643.3,3234.9
Kentucky,2021,3,5718.6,113.4,17725.9
Louisiana,2021,3,7751.4,7799.7,8113.8
Maine,2021,3,435.6,404.8,1661.7
Maryland,2021,3,2588.8,921.1,9594.8
Massachusetts,2021,3,6435,360.5,12058.4
Michigan,2021,3,12369.6,642.1,31663.8
Minnesota,2021,3,4577.9,436.5,8201.9
