State,Year,Quarter,Imports_Manufactured_Commodities,Imports_Non_Manufactured_Commodities,Imports_Total_Commodities
Alabama,2021,4,7155.6,711.1,7866.7
Alaska,2021,4,887.6,56.9,944.6
Arizona,2021,4,6034,1527.3,7561.4
Arkansas,2021,4,2387,104.2,2491.2
California,2021,4,113023,13422.4,126445.5
Colorado,2021,4,3398.2,1031.5,4429.8
Connecticut,2021,4,4830.3,553.4,5383.8
Delaware,2021,4,2181.4,807.6,2989.1
Florida,2021,4,21061.2,5334.6,26395.8
Georgia,2021,4,31584.6,1174.6,32759.2
Hawaii,2021,4,445.5,278.5,724.1
Idaho,2021,4,1574.2,128,1702.3
Illinois,2021,4,44775.5,14675,59450.5
Indiana,2021,4,19218.3,1120,20338.3
Iowa,2021,4,2799.7,230,3029.7
Kansas,2021,4,2689.5,381.1,3070.7
Kentucky,2021,4,15193.2,1869.5,17062.6
Louisiana,2021,4,7505.3,1590.8,9096.1
Maine,2021,4,1446.9,291,1738
Maryland,2021,4,9405.4,638.8,10044.2
Massachusetts,2021,4,10045,1557,11602
Michigan,2021,4,32473.7,3404.3,35878
Minnesota,2021,4,5996.7,2656.9,8653.6
Mississippi,2021,4,4105.4,397,4502.5
Missouri,2021,4,5052.1,1286.7,6338.8
Montana,2021,4,300.7,1478.9,1779.7
Nebraska,2021,4,1116.5,73.9,1190.4
Nevada,2021,4,3836,230.3,4066.2
New Hampshire,2021,4,1991.3,161.5,2152.8
New Jersey,2021,4,37680.8,4281.5,41962.4
New Mexico,2021,4,1551.1,102.2,1653.3
New York,2021,4,37538.7,6079.7,43618.5
North Carolina,2021,4,16082.7,4559,20641.6
North Dakota,2021,4,598.8,300.3,899
Ohio,2021,4,18795.8,1400.8,20196.5
Oklahoma,2021,4,2255.6,2080.9,4336.6
Oregon,2021,4,5581.6,527.6,6109.2
Pennsylvania,2021,4,23127.7,2659.2,25786.8
Rhode Island,2021,4,2355.9,76.6,2432.7
South Carolina,2021,4,11883.7,709.7,12593.2
South Dakota,2021,4,400.6,44.8,445.3
Tennessee,2021,4,24127.8,753.3,24881.1
Texas,2021,4,75339.8,12424.2,87763.9
Utah,2021,4,4388.3,451.4,4839.7
Vermont,2021,4,627.2,239.6,866.9
Virginia,2021,4,8776.2,611.3,9387.6
Washington,2021,4,12512.2,4671.2,17183.4
West Virginia,2021,4,904.9,45.7,950.5
Wisconsin,2021,4,10005.4,402,10407.4
Wyoming,2021,4,188.9,270.2,459.2
District of Columbia,2021,4,200.2,18.9,219.2
Alabama,2021,3,7380.5,822.6,8203.1
Alaska,2021,3,1106.8,171.4,1278.1
Arizona,2021,3,5594.2,1197.8,6792
Arkansas,2021,3,2505.1,137.4,2642.5
California,2021,3,110529.3,13031.6,123560.9
Colorado,2021,3,3395.4,930.1,4325.5
Connecticut,2021,3,4926.1,535,5461.2
Delaware,2021,3,1694.9,729.8,2424.8
Florida,2021,3,19637.8,3933.5,23571.4
Georgia,2021,3,30364.6,1026.8,31391.6
Hawaii,2021,3,374.6,310.5,685
Idaho,2021,3,1534.3,145.2,1679.5
Illinois,2021,3,39724.3,13558.9,53283.2
Indiana,2021,3,19005.1,840.9,19845.9
Iowa,2021,3,2756.6,190.9,2947.4
Kansas,2021,3,2896.1,339,3234.9
Kentucky,2021,3,16245.2,1480.7,17725.9
Louisiana,2021,3,5795.4,2318.4,8113.8
Maine,2021,3,1432.2,229.5,1661.7
Maryland,2021,3,9057.3,537.6,9594.8
Massachusetts,2021,3,10026,2032.3,12058.4
Michigan,2021,3,28905.2,2758.6,31663.8
Minnesota,2021,3,5932.6,2269.2,8201.9
Mississippi,2021,3,4229.7,655.4,4885.2
Missouri,2021,3,5182.6,1035.2,6217.7
Montana,2021,3,330.6,1421.3,1751.9
Nebraska,2021,3,1233.2,65.6,1298.5
Nevada,2021,3,4007.5,236.1,4243.7
New Hampshire,2021,3,1886.7,169,2055.7
New Jersey,2021,3,36885.8,4366.6,41252.4
New Mexico,2021,3,1414.5,78.2,1492.7
New York,2021,3,33537.3,4147.4,37684.7
North Carolina,2021,3,16475.8,2463.8,18939.7
North Dakota,2021,3,576.1,214.2,790.6
Ohio,2021,3,17889.4,1520.9,19410.3
Oklahoma,2021,3,2160.9,2075,4235.8
Oregon,2021,3,5288.7,524.2,5812.8
Pennsylvania,2021,3,22503.6,2140.5,24644
Rhode Island,2021,3,2238.4,78.7,2317.2
South Carolina,2021,3,12305.9,845.4,13151.2
South Dakota,2021,3,398.7,29,427.7
Tennessee,2021,3,22377.3,752,23129.3
Texas,2021,3,69162.3,12059.9,81222.3
Utah,2021,3,4150.5,410.7,4561.2
Vermont,2021,3,649.4,232.2,881.7
Virginia,2021,3,8058.6,602,8660.7
Washington,2021,3,11754.8,4893.4,16648.2
West Virginia,2021,3,957.1,96.9,1053.9
Wisconsin,2021,3,9159.8,287.5,9447.3
Wyoming,2021,3,187.2,254.7,441.9
District of Columbia,2021,3,189.7,21,210.7
Alabama,2021,2,7347.5,852.7,8200.2
Alaska,2021,2,899.9,48,947.9
Arizona,2021,2,5355,1810.9,7165.8
Arkansas,2021,2,2365.5,83.4,2448.9
California,2021,2,104023,12396.3,116419.3
Colorado,2021,2,3274,849.3,4123.1
Connecticut,2021,2,4764.6,533.9,5298.6
Delaware,2021,2,1972.1,1048.7,3020.7
Florida,2021,2,18793.9,3850.6,22644.4
Georgia,2021,2,30037.6,1075.5,31113
Hawaii,2021,2,331,331.4,662.5
Idaho,2021,2,1481.4,136.5,1617.9
Illinois,2021,2,37779.4,10614.4,48393.8
Indiana,2021,2,18109.5,856.1,18965.6
Iowa,2021,2,2856.6,199.8,3056.4
Kansas,2021,2,2895.4,362.3,3257.6
Kentucky,2021,2,16151.8,1540.3,17692
Louisiana,2021,2,5490.7,1666.7,7157.3
Maine,2021,2,1272,280.5,1552.4
Maryland,2021,2,9556.1,515,10070.9
Massachusetts,2021,2,9024.8,1945.2,10970
Michigan,2021,2,29724.4,2984.2,32708.7
Minnesota,2021,2,6016.6,2081.7,8098.3
