FIPStxt,State,Area name,Year,POP_ESTIMATE
0,US,United States,2017,324985539
1000,AL,Alabama,2017,4874486
1001,AL,Autauga County,2017,55390
1003,AL,Baldwin County,2017,212521
1005,AL,Barbour County,2017,25157
1007,AL,Bibb County,2017,22550
1009,AL,Blount County,2017,57787
1011,AL,Bullock County,2017,10176
1013,AL,Butler County,2017,19888
1015,AL,Calhoun County,2017,114710
1017,AL,Chambers County,2017,33707
1019,AL,Cherokee County,2017,25805
1021,AL,Chilton County,2017,44120
1023,AL,Choctaw County,2017,12925
1025,AL,Clarke County,2017,24063
1027,AL,Clay County,2017,13350
1029,AL,Cleburne County,2017,14899
1031,AL,Coffee County,2017,51853
1033,AL,Colbert County,2017,54695
1035,AL,Conecuh County,2017,12431
1037,AL,Coosa County,2017,10724
1039,AL,Covington County,2017,37062
1041,AL,Crenshaw County,2017,13858
1043,AL,Cullman County,2017,82867
1045,AL,Dale County,2017,49342
1047,AL,Dallas County,2017,39238
1049,AL,DeKalb County,2017,71437
1051,AL,Elmore County,2017,81422
1053,AL,Escambia County,2017,36993
1055,AL,Etowah County,2017,103007
1057,AL,Fayette County,2017,16466
1059,AL,Franklin County,2017,31542
1061,AL,Geneva County,2017,26385
1063,AL,Greene County,2017,8310
1065,AL,Hale County,2017,14801
1067,AL,Henry County,2017,17115
1069,AL,Houston County,2017,104378
1071,AL,Jackson County,2017,51828
1073,AL,Jefferson County,2017,659599
1075,AL,Lamar County,2017,13882
1077,AL,Lauderdale County,2017,92564
1079,AL,Lawrence County,2017,33063
1081,AL,Lee County,2017,161440
1083,AL,Limestone County,2017,94130
1085,AL,Lowndes County,2017,10097
1087,AL,Macon County,2017,18793
1089,AL,Madison County,2017,361762
1091,AL,Marengo County,2017,19396
1093,AL,Marion County,2017,29792
1095,AL,Marshall County,2017,95572
1097,AL,Mobile County,2017,414045
1099,AL,Monroe County,2017,21290
1101,AL,Montgomery County,2017,227265
1103,AL,Morgan County,2017,118918
1105,AL,Perry County,2017,9302
1107,AL,Pickens County,2017,20204
1109,AL,Pike County,2017,33349
1111,AL,Randolph County,2017,22687
1113,AL,Russell County,2017,56985
1115,AL,St. Clair County,2017,87926
1117,AL,Shelby County,2017,213633
1119,AL,Sumter County,2017,12749
1121,AL,Talladega County,2017,80142
1123,AL,Tallapoosa County,2017,40613
1125,AL,Tuscaloosa County,2017,207618
1127,AL,Walker County,2017,63895
1129,AL,Washington County,2017,16522
1131,AL,Wilcox County,2017,10691
1133,AL,Winston County,2017,23760
2000,AK,Alaska,2017,739700
2013,AK,Aleutians East Borough,2017,3455
2016,AK,Aleutians West Census Area,2017,5729
2020,AK,Anchorage Municipality,2017,294338
2050,AK,Bethel Census Area,2017,18090
2060,AK,Bristol Bay Borough,2017,869
2068,AK,Denali Borough,2017,2084
2070,AK,Dillingham Census Area,2017,4940
2090,AK,Fairbanks North Star Borough,2017,99675
2100,AK,Haines Borough,2017,2524
2105,AK,Hoonah-Angoon Census Area,2017,2139
2110,AK,Juneau City and Borough,2017,32098
2122,AK,Kenai Peninsula Borough,2017,58558
2130,AK,Ketchikan Gateway Borough,2017,13834
2150,AK,Kodiak Island Borough,2017,13512
2158,AK,Kusilvak Census Area,2017,8236
2164,AK,Lake and Peninsula Borough,2017,1612
2170,AK,Matanuska-Susitna Borough,2017,106232
2180,AK,Nome Census Area,2017,10025
2185,AK,North Slope Borough,2017,9795
2188,AK,Northwest Arctic Borough,2017,7795
2195,AK,Petersburg Borough,2017,3264
2198,AK,Prince of Wales-Hyder Census Area,2017,6444
2220,AK,Sitka City and Borough,2017,8641
2230,AK,Skagway Municipality,2017,1167
2240,AK,Southeast Fairbanks Census Area,2017,6892
2261,AK,Valdez-Cordova Census Area,2017,9220
2275,AK,Wrangell City and Borough,2017,2521
2282,AK,Yakutat City and Borough,2017,602
2290,AK,Yukon-Koyukuk Census Area,2017,5409
4000,AZ,Arizona,2017,7044008
4001,AZ,Apache County,2017,71545
4003,AZ,Cochise County,2017,124864
4005,AZ,Coconino County,2017,141001
4007,AZ,Gila County,2017,53578
4009,AZ,Graham County,2017,37481
4011,AZ,Greenlee County,2017,9443
4012,AZ,La Paz County,2017,20706
4013,AZ,Maricopa County,2017,4327184
