FIPS_Code,State,Area_name,Year,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017
0,US,United States,2017,160214378,153237150,6977228,4.4
1000,AL,Alabama,2017,2172455,2073396,99059,4.6
1001,AL,"Autauga County, AL",2017,25898,24858,1040,4
1003,AL,"Baldwin County, AL",2017,91838,87994,3844,4.2
1005,AL,"Barbour County, AL",2017,8298,7800,498,6
1007,AL,"Bibb County, AL",2017,8527,8142,385,4.5
1009,AL,"Blount County, AL",2017,24656,23631,1025,4.2
1011,AL,"Bullock County, AL",2017,4820,4576,244,5.1
1013,AL,"Butler County, AL",2017,8920,8412,508,5.7
1015,AL,"Calhoun County, AL",2017,45656,43324,2332,5.1
1017,AL,"Chambers County, AL",2017,15158,14521,637,4.2
1019,AL,"Cherokee County, AL",2017,11309,10834,475,4.2
1021,AL,"Chilton County, AL",2017,19203,18396,807,4.2
1023,AL,"Choctaw County, AL",2017,4398,4112,286,6.5
1025,AL,"Clarke County, AL",2017,7725,7049,676,8.8
1027,AL,"Clay County, AL",2017,5781,5522,259,4.5
1029,AL,"Cleburne County, AL",2017,5709,5444,265,4.6
1031,AL,"Coffee County, AL",2017,20831,19887,944,4.5
1033,AL,"Colbert County, AL",2017,23195,21950,1245,5.4
1035,AL,"Conecuh County, AL",2017,4479,4196,283,6.3
1037,AL,"Coosa County, AL",2017,4368,4157,211,4.8
1039,AL,"Covington County, AL",2017,15678,14836,842,5.4
1041,AL,"Crenshaw County, AL",2017,6387,6088,299,4.7
1043,AL,"Cullman County, AL",2017,37716,36259,1457,3.9
1045,AL,"Dale County, AL",2017,19882,18964,918,4.6
1047,AL,"Dallas County, AL",2017,15002,13843,1159,7.7
1049,AL,"DeKalb County, AL",2017,29494,28128,1366,4.6
1051,AL,"Elmore County, AL",2017,37109,35697,1412,3.8
1053,AL,"Escambia County, AL",2017,14408,13667,741,5.1
1055,AL,"Etowah County, AL",2017,42949,40915,2034,4.7
1057,AL,"Fayette County, AL",2017,6536,6218,318,4.9
1059,AL,"Franklin County, AL",2017,13934,13320,614,4.4
1061,AL,"Geneva County, AL",2017,10755,10272,483,4.5
1063,AL,"Greene County, AL",2017,2845,2623,222,7.8
1065,AL,"Hale County, AL",2017,5932,5568,364,6.1
1067,AL,"Henry County, AL",2017,6695,6359,336,5
1069,AL,"Houston County, AL",2017,44585,42574,2011,4.5
1071,AL,"Jackson County, AL",2017,23049,21909,1140,4.9
1073,AL,"Jefferson County, AL",2017,309410,295805,13605,4.4
1075,AL,"Lamar County, AL",2017,5726,5478,248,4.3
1077,AL,"Lauderdale County, AL",2017,41942,39933,2009,4.8
1079,AL,"Lawrence County, AL",2017,13601,12909,692,5.1
1081,AL,"Lee County, AL",2017,73263,70259,3004,4.1
1083,AL,"Limestone County, AL",2017,41411,39692,1719,4.2
1085,AL,"Lowndes County, AL",2017,3653,3344,309,8.5
1087,AL,"Macon County, AL",2017,7868,7399,469,6
1089,AL,"Madison County, AL",2017,175368,168333,7035,4
1091,AL,"Marengo County, AL",2017,7676,7232,444,5.8
1093,AL,"Marion County, AL",2017,12486,11867,619,5
1095,AL,"Marshall County, AL",2017,41954,40286,1668,4
1097,AL,"Mobile County, AL",2017,186372,176373,9999,5.4
1099,AL,"Monroe County, AL",2017,7200,6701,499,6.9
1101,AL,"Montgomery County, AL",2017,105451,100729,4722,4.5
1103,AL,"Morgan County, AL",2017,54881,52555,2326,4.2
1105,AL,"Perry County, AL",2017,3431,3155,276,8
1107,AL,"Pickens County, AL",2017,7699,7273,426,5.5
1109,AL,"Pike County, AL",2017,15252,14487,765,5
1111,AL,"Randolph County, AL",2017,9458,9030,428,4.5
1113,AL,"Russell County, AL",2017,23327,22286,1041,4.5
1115,AL,"St. Clair County, AL",2017,39076,37473,1603,4.1
1117,AL,"Shelby County, AL",2017,110987,107294,3693,3.3
1119,AL,"Sumter County, AL",2017,4956,4621,335,6.8
1121,AL,"Talladega County, AL",2017,34558,32772,1786,5.2
1123,AL,"Tallapoosa County, AL",2017,18151,17363,788,4.3
1125,AL,"Tuscaloosa County, AL",2017,99589,95310,4279,4.3
1127,AL,"Walker County, AL",2017,24836,23545,1291,5.2
1129,AL,"Washington County, AL",2017,6678,6212,466,7
1131,AL,"Wilcox County, AL",2017,2800,2471,329,11.8
1133,AL,"Winston County, AL",2017,9668,9166,502,5.2
2000,AK,Alaska,2017,361225,337728,23497,6.5
2013,AK,"Aleutians East Borough, AK",2017,2550,2490,60,2.4
2016,AK,"Aleutians West Census Area, AK",2017,3752,3623,129,3.4
2020,AK,"Anchorage Borough/municipality, AK",2017,154046,145674,8372,5.4
2050,AK,"Bethel Census Area, AK",2017,7336,6405,931,12.7
2060,AK,"Bristol Bay Borough, AK",2017,422,397,25,5.9
2068,AK,"Denali Borough, AK",2017,1148,1051,97,8.4
2070,AK,"Dillingham Census Area, AK",2017,2053,1881,172,8.4
2090,AK,"Fairbanks North Star Borough, AK",2017,46505,43856,2649,5.7
2100,AK,"Haines Borough, AK",2017,1082,992,90,8.3
2105,AK,"Hoonah-Angoon Census Area, AK",2017,1139,1008,131,11.5
2110,AK,"Juneau Borough/city, AK",2017,17326,16578,748,4.3
2122,AK,"Kenai Peninsula Borough, AK",2017,26869,24790,2079,7.7
2130,AK,"Ketchikan Gateway Borough, AK",2017,7106,6698,408,5.7
2150,AK,"Kodiak Island Borough, AK",2017,6333,6036,297,4.7
2158,AK,"Kusilvak Census Area, AK",2017,2739,2231,508,18.5
2164,AK,"Lake and Peninsula Borough, AK",2017,717,638,79,11
2170,AK,"Matanuska-Susitna Borough, AK",2017,48345,44608,3737,7.7
2180,AK,"Nome Census Area, AK",2017,4098,3633,465,11.3
2185,AK,"North Slope Borough, AK",2017,3604,3354,250,6.9
2188,AK,"Northwest Arctic Borough, AK",2017,2950,2501,449,15.2
2195,AK,"Petersburg Borough, AK",2017,1417,1295,122,8.6
2198,AK,"Prince of Wales-Hyder Census Area, AK",2017,2847,2551,296,10.4
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",2017,,,,
2220,AK,"Sitka Borough/city, AK",2017,4456,4268,188,4.2
2230,AK,"Skagway Municipality, AK",2017,829,749,80,9.7
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",2017,,,,
2240,AK,"Southeast Fairbanks Census Area, AK",2017,2937,2655,282,9.6
2261,AK,"Valdez-Cordova Census Area, AK",2017,4878,4526,352,7.2
2275,AK,"Wrangell Borough/city, AK",2017,1050,975,75,7.1
2280,AK,"Wrangell-Petersburg Census Area, AK",2017,,,,
2282,AK,"Yakutat Borough/city, AK",2017,233,213,20,8.6
2290,AK,"Yukon-Koyukuk Census Area, AK",2017,2462,2054,408,16.6
4000,AZ,Arizona,2017,3329618,3164810,164808,4.9
4001,AZ,"Apache County, AZ",2017,20433,18300,2133,10.4
4003,AZ,"Cochise County, AZ",2017,49453,46660,2793,5.6
4005,AZ,"Coconino County, AZ",2017,75595,71354,4241,5.6
4007,AZ,"Gila County, AZ",2017,21363,20054,1309,6.1
4009,AZ,"Graham County, AZ",2017,14394,13600,794,5.5
4011,AZ,"Greenlee County, AZ",2017,3992,3789,203,5.1
4012,AZ,"La Paz County, AZ",2017,8704,8228,476,5.5
4013,AZ,"Maricopa County, AZ",2017,2146260,2055052,91208,4.2
4015,AZ,"Mohave County, AZ",2017,82566,77653,4913,6
4017,AZ,"Navajo County, AZ",2017,40806,37645,3161,7.7
4019,AZ,"Pima County, AZ",2017,477055,455288,21767,4.6
4021,AZ,"Pinal County, AZ",2017,171890,163117,8773,5.1
4023,AZ,"Santa Cruz County, AZ",2017,19114,17280,1834,9.6
4025,AZ,"Yavapai County, AZ",2017,102091,97409,4682,4.6
4027,AZ,"Yuma County, AZ",2017,95902,79380,16522,17.2
5000,AR,Arkansas,2017,1350036,1299544,50492,3.7
5001,AR,"Arkansas County, AR",2017,8979,8684,295,3.3
5003,AR,"Ashley County, AR",2017,7877,7434,443,5.6
5005,AR,"Baxter County, AR",2017,16388,15683,705,4.3
5007,AR,"Benton County, AR",2017,132629,128669,3960,3
5009,AR,"Boone County, AR",2017,15817,15269,548,3.5
5011,AR,"Bradley County, AR",2017,4462,4257,205,4.6
5013,AR,"Calhoun County, AR",2017,2413,2319,94,3.9
5015,AR,"Carroll County, AR",2017,13008,12570,438,3.4
5017,AR,"Chicot County, AR",2017,3472,3243,229,6.6
5019,AR,"Clark County, AR",2017,9587,9210,377,3.9
5021,AR,"Clay County, AR",2017,5890,5621,269,4.6
5023,AR,"Cleburne County, AR",2017,9299,8837,462,5
5025,AR,"Cleveland County, AR",2017,3332,3186,146,4.4
5027,AR,"Columbia County, AR",2017,9091,8627,464,5.1
5029,AR,"Conway County, AR",2017,8241,7844,397,4.8
5031,AR,"Craighead County, AR",2017,53656,52029,1627,3
5033,AR,"Crawford County, AR",2017,26964,26005,959,3.6
5035,AR,"Crittenden County, AR",2017,21409,20464,945,4.4
5037,AR,"Cross County, AR",2017,7666,7356,310,4
5039,AR,"Dallas County, AR",2017,2923,2793,130,4.4
5041,AR,"Desha County, AR",2017,5454,5190,264,4.8
5043,AR,"Drew County, AR",2017,7972,7563,409,5.1
5045,AR,"Faulkner County, AR",2017,61429,59362,2067,3.4
5047,AR,"Franklin County, AR",2017,7411,7148,263,3.5
5049,AR,"Fulton County, AR",2017,4724,4523,201,4.3
5051,AR,"Garland County, AR",2017,40388,38741,1647,4.1
5053,AR,"Grant County, AR",2017,8335,8063,272,3.3
5055,AR,"Greene County, AR",2017,19745,19011,734,3.7
5057,AR,"Hempstead County, AR",2017,9907,9563,344,3.5
5059,AR,"Hot Spring County, AR",2017,14138,13610,528,3.7
5061,AR,"Howard County, AR",2017,5995,5812,183,3.1
5063,AR,"Independence County, AR",2017,16164,15471,693,4.3
5065,AR,"Izard County, AR",2017,4888,4615,273,5.6
5067,AR,"Jackson County, AR",2017,5889,5540,349,5.9
5069,AR,"Jefferson County, AR",2017,28037,26569,1468,5.2
5071,AR,"Johnson County, AR",2017,10590,10133,457,4.3
5073,AR,"Lafayette County, AR",2017,2542,2413,129,5.1
5075,AR,"Lawrence County, AR",2017,6867,6605,262,3.8
5077,AR,"Lee County, AR",2017,2973,2828,145,4.9
5079,AR,"Lincoln County, AR",2017,4058,3887,171,4.2
5081,AR,"Little River County, AR",2017,5506,5237,269,4.9
5083,AR,"Logan County, AR",2017,8909,8564,345,3.9
5085,AR,"Lonoke County, AR",2017,33888,32769,1119,3.3
5087,AR,"Madison County, AR",2017,7379,7166,213,2.9
5089,AR,"Marion County, AR",2017,6488,6229,259,4
5091,AR,"Miller County, AR",2017,19786,18918,868,4.4
5093,AR,"Mississippi County, AR",2017,17809,16740,1069,6
5095,AR,"Monroe County, AR",2017,2801,2681,120,4.3
5097,AR,"Montgomery County, AR",2017,3096,2946,150,4.8
5099,AR,"Nevada County, AR",2017,3608,3479,129,3.6
5101,AR,"Newton County, AR",2017,3327,3205,122,3.7
5103,AR,"Ouachita County, AR",2017,9736,9287,449,4.6
5105,AR,"Perry County, AR",2017,4251,4073,178,4.2
5107,AR,"Phillips County, AR",2017,6541,6159,382,5.8
5109,AR,"Pike County, AR",2017,4300,4126,174,4
5111,AR,"Poinsett County, AR",2017,10270,9839,431,4.2
5113,AR,"Polk County, AR",2017,8039,7675,364,4.5
5115,AR,"Pope County, AR",2017,29133,27825,1308,4.5
5117,AR,"Prairie County, AR",2017,3700,3548,152,4.1
5119,AR,"Pulaski County, AR",2017,188707,182210,6497,3.4
5121,AR,"Randolph County, AR",2017,6932,6641,291,4.2
5123,AR,"St. Francis County, AR",2017,8373,7947,426,5.1
5125,AR,"Saline County, AR",2017,57556,55801,1755,3
